idx,result,time_s,max_depth,avg_depth,mincheck_calls,mincheck_time_s,added_clauses
1382,UNSAT,1.853421,90,46.000000,3,0.0003,3
1383,UNSAT,1.739877,90,46.000000,3,0.0003,3
1384,UNSAT,1.770347,90,46.000000,3,0.0004,3
1385,UNSAT,1.939804,90,46.000000,3,0.0004,3
1386,UNSAT,1.835268,90,46.000000,3,0.0003,3
1387,UNSAT,1.804401,90,46.000000,3,0.0005,3
1388,UNSAT,1.845505,90,46.000000,3,0.0003,3
1389,UNSAT,1.780781,90,46.000000,3,0.0004,3
138,UNSAT,,,,,,
1390,UNSAT,1.772060,90,46.000000,3,0.0005,3
1391,UNSAT,1.776129,90,46.000000,3,0.0004,3
1392,UNSAT,1.697367,90,46.000000,3,0.0005,3
1393,UNSAT,1.772220,90,46.000000,3,0.0004,3
1394,UNSAT,1.977054,166,99.812766,8,0.0011,8
1395,UNSAT,1.600469,90,46.000000,3,0.0006,3
1396,UNSAT,1.859971,90,46.000000,3,0.0004,3
1397,UNSAT,1.792030,90,46.000000,3,0.0005,3
1398,UNSAT,1.700223,90,46.000000,3,0.0004,3
1399,UNSAT,1.880557,166,99.547009,8,0.0011,8
139,UNSAT,,,,,,
13,UNSAT,,,,,,
1400,UNSAT,1.859018,167,100.127660,8,0.0008,8
1401,UNSAT,1.896107,166,99.547009,8,0.0012,8
1402,UNSAT,1.944035,167,100.127660,8,0.0014,8
1403,UNSAT,99.009769,259,121.948162,10495,2.4713,5852
1404,UNSAT,4.727157,237,144.156268,726,0.1618,418
1405,UNSAT,1.701655,115,60.647059,4,0.0005,4
1406,UNSAT,1.772880,114,60.596639,4,0.0006,4
1407,UNSAT,102.962407,257,132.389646,11166,2.3249,5989
1408,UNSAT,4.711403,245,156.882728,929,0.1721,281
1409,UNSAT,55.197595,269,132.978510,4436,0.9590,2742
140,UNSAT,,,,,,
1410,UNSAT,159.778021,293,126.277236,17157,3.9729,9212
1411,UNSAT,1.907016,90,46.000000,3,0.0006,3
1412,UNSAT,209.105489,270,121.600164,22067,5.3380,12626
1413,UNSAT,1.760890,90,46.000000,3,0.0005,3
1414,UNSAT,1.370445,114,60.546218,4,0.0007,4
1415,UNSAT,244.646969,277,129.215373,31969,6.7845,12250
1416,UNSAT,51.178473,284,164.840583,8440,1.3394,621
1417,UNSAT,1204.263371,278,118.515539,115332,27.4555,57178
1418,UNSAT,50.816052,304,166.116868,10219,1.4717,793
1419,UNSAT,1.399740,153,91.492683,7,0.0006,7
141,UNSAT,,,,,,
1420,TIMEOUT,,,,,,
1421,UNSAT,1.662043,126,72.540541,5,0.0005,5
1422,UNSAT,1.696787,125,71.863946,5,0.0005,5
1423,UNSAT,1.806849,90,46.000000,3,0.0004,3
1424,UNSAT,113.549161,307,165.932515,23915,4.1655,339
1425,UNSAT,125.750971,348,169.909604,26487,4.3882,244
1426,TIMEOUT,,,,,,
1427,TIMEOUT,,,,,,
1428,UNSAT,3.287464,282,154.272743,761,0.1872,99
1429,UNSAT,1.843787,125,71.863946,5,0.0008,5
142,UNSAT,,,,,,
1430,UNSAT,3.011190,269,151.913191,750,0.1374,75
1431,UNSAT,1.519112,143,82.181818,6,0.0006,6
1432,UNSAT,3.431480,302,153.770037,896,0.1498,177
1433,TIMEOUT,,,,,,
1434,TIMEOUT,,,,,,
1435,UNSAT,1.843945,143,82.181818,6,0.0006,6
1436,UNSAT,122.056308,344,166.171395,26857,4.3122,429
1437,UNSAT,1.735283,143,81.988636,6,0.0007,6
1438,UNSAT,1.915463,90,46.000000,3,0.0004,3
1439,UNSAT,4.810617,303,156.088801,916,0.2126,197
143,UNSAT,,,,,,
1440,UNSAT,1.811538,125,72.020408,5,0.0005,5
1441,UNSAT,970.168878,287,114.879951,115946,24.2288,41990
1442,UNSAT,1.409856,126,73.018634,5,0.0008,5
1443,UNSAT,82.256965,307,139.456653,9815,1.7722,3902
1444,TIMEOUT,,,,,,
1445,TIMEOUT,,,,,,
1446,UNSAT,1841.960554,249,117.704212,161316,35.7500,108686
1447,UNSAT,1.857274,125,72.020408,5,0.0005,5
1448,TIMEOUT,,,,,,
1449,TIMEOUT,,,,,,
144,UNSAT,,,,,,
1450,UNSAT,1832.695072,279,117.767902,161939,38.3224,112468
1451,UNSAT,1.725661,125,72.020408,5,0.0005,5
1452,TIMEOUT,,,,,,
1453,UNSAT,1.408420,144,82.338983,6,0.0007,6
1454,UNSAT,1.748606,114,60.783333,4,0.0006,4
1455,UNSAT,1.725785,125,72.020408,5,0.0006,5
1456,TIMEOUT,,,,,,
1457,UNSAT,1.735935,153,91.492683,7,0.0006,7
1458,TIMEOUT,,,,,,
1459,UNSAT,1.638569,143,81.988636,6,0.0006,6
145,UNSAT,,,,,,
