graph_idx,is_complement,base_idx,tau,best_mask_hex,degree_new_vertex,time_s
560,true,280,28,3fc2b49b904,21,1.7
561,false,281,37,975a48afb,20,1.6
562,true,281,37,3f69a5a7504,22,1.6
563,false,282,37,9daa4a2fb,20,1.5
564,true,282,37,3f6354a5d04,21,1.6
565,false,283,42,b9a9b22fb,21,1.5
566,true,283,42,3f46564dd04,21,1.5
567,false,284,22,17f31c03f,19,1.8
568,true,284,22,3fe80cd3fc0,23,1.8
569,false,285,23,47e71c03f,19,1.7
570,true,285,23,3fb818e3fc0,23,1.7
571,false,286,27,85763030ff,20,1.7
572,true,286,27,37a89cfcf00,22,1.7
573,false,287,34,137e4860eb,19,1.6
574,true,287,34,3ec81b79f14,23,1.6
575,false,288,25,10dfd060eb,19,1.7
576,true,288,25,3ef202f9f14,23,1.7
577,false,289,21,451e9828ff,20,1.8
578,true,289,21,3bae167d700,22,1.8
579,false,290,19,db85621ff,21,1.8
580,true,290,19,3f24fa9de00,22,1.7
581,false,291,27,6ed4343bf,21,1.7
582,true,291,27,3f912bdbc40,22,1.7
583,false,292,25,27ec213bf,20,1.7
584,true,292,25,3fd813dec40,22,1.7
585,false,293,16,1ae4f837f,21,1.8
586,true,293,16,3fe51b07c80,21,1.8
587,false,294,27,2bb1749df,21,1.7
588,true,294,27,3fd44e9b620,22,1.7
589,false,295,33,36d868cbcf,22,1.6
590,true,295,33,3c927973430,20,1.6
591,false,296,37,33f31031cf,20,1.5
592,true,296,37,3cc0cdfcd30,22,1.5
593,false,297,36,ff31031cf,20,1.6
594,true,297,36,3f00cdfcd30,22,1.6
595,false,298,34,cff1030cf,19,1.6
596,true,298,34,3f300dfcf30,23,1.6
597,false,299,33,3ff1030cf,19,1.6
598,true,299,33,3fc00cfcf30,22,1.6
599,false,300,35,fcf1030df,20,1.6
600,true,300,35,3f030efcf10,22,1.6
601,false,301,34,fcf1031cf,20,1.6
602,true,301,34,3f030dfcd30,22,1.7
603,false,302,30,3ff1030df,20,1.7
604,true,302,30,3fc00dfcf20,22,1.7
605,false,303,31,3ff1030df,20,1.7
606,true,303,31,3fc00dfcf20,22,1.7
607,false,304,34,fcf2030cf,19,1.6
608,true,304,34,3f030dfcf30,23,1.6
609,false,305,33,fcf2030cf,19,1.7
610,true,305,33,3f030efcf30,23,1.7
611,false,306,42,1197a86077b,21,1.5
612,true,306,42,2e68579f884,21,1.5
613,false,307,27,3f0f1c0ff,21,1.8
614,true,307,27,3fc0f0e3f00,21,1.8
615,false,308,28,3f0f2c0ff,21,1.7
616,true,308,28,3fc0f0d3f00,21,1.7
617,false,309,24,3f0f1c0ff,21,1.7
618,true,309,24,3fc0f0e3f00,21,1.8
619,false,310,23,3f0f2c0ff,21,1.8
620,true,310,23,3fc0f0e3f00,21,1.8
621,false,311,18,fcf1c0ff,21,1.9
622,true,311,18,3ff030d3f00,21,1.9
623,false,312,19,fcf1c0ff,21,1.8
624,true,312,19,3ff030e3f00,21,1.8
625,false,313,15,fcf1c0ff,21,1.9
626,true,313,15,3ff030e3f00,21,1.9
627,false,314,14,fcf1c0ff,21,1.9
628,true,314,14,3ff030e3f00,21,1.9
629,false,315,31,3f0f1c03f,19,1.7
630,true,315,31,3fc0f0e3fc0,23,1.7
631,false,316,32,3f0f1c03f,19,1.7
632,true,316,32,3fc0f0d3fc0,23,1.7
633,false,317,22,fcf1c03f,19,1.8
634,true,317,22,3ff030d3fc0,23,1.8
635,false,318,23,fcf1c03f,19,1.8
636,true,318,23,3ff030c3fc0,22,1.8
637,false,319,34,cfc32c23f,20,1.7
638,true,319,34,3f303cd3dc0,22,1.6
639,false,320,35,30fc31c13f,20,1.6
640,true,320,35,3cf03ce3ec0,22,1.6
641,false,321,32,cfc32c03f,19,1.7
642,true,321,32,3f303cd3fc0,23,1.8
643,false,322,31,3fc31c03f,19,1.7
644,true,322,31,3fc03ce3fc0,23,1.7
645,false,323,26,33f31c03f,19,1.7
646,true,323,26,3fcc0cd3fc0,23,1.7
647,false,324,27,c3f32c03f,19,1.7
648,true,324,27,3f3c0cd3f40,22,1.7
649,false,325,23,33f32c0bf,20,1.8
650,true,325,23,3fcc0ce3fc0,23,1.8
651,false,326,22,ff32c0bf,20,1.8
652,true,326,22,3ff00cc3fc0,22,1.8
653,false,327,27,100ed4789bf,21,1.7
654,true,327,27,2ff12b87640,21,1.7
655,false,328,27,4dd8729df,21,1.7
656,true,328,27,3fb0279d620,21,1.7
