graph_idx,ev_1,ev_2,ev_3,ev_4,ev_5,ev_6,ev_7,ev_8,ev_9,ev_10,ev_11,ev_12,ev_13,ev_14,ev_15,ev_16,ev_17,ev_18,ev_19,ev_20,ev_21,ev_22,ev_23,ev_24,ev_25,ev_26,ev_27,ev_28,ev_29,ev_30,ev_31,ev_32,ev_33,ev_34,ev_35,ev_36,ev_37,ev_38,ev_39,ev_40,ev_41,ev_42
29,20.31809572,5.45084340,5.21968490,4.90962701,4.39905380,3.56725076,3.45429893,3.30273231,3.11660167,2.83333947,2.43921801,2.16044475,2.04719689,1.15202174,0.86616842,0.71378889,0.38469447,0.28933324,0.11169896,0.00223224,-0.11097944,-0.19324585,-0.66493781,-0.77613523,-1.25915570,-1.42262319,-1.86853128,-2.32900425,-2.65850077,-3.06799363,-3.11446365,-3.31489444,-3.56676208,-3.74004975,-4.06601036,-4.22922528,-4.27126390,-4.60657381,-4.80612309,-5.17837095,-5.26136776,-6.23211336
30,20.41646976,5.44397449,5.20807294,4.67676730,4.37986114,3.65875385,3.58235991,3.33238582,3.20095754,2.79440329,2.31757526,2.08996530,1.96754981,1.17723967,0.83175462,0.70044591,0.47194840,0.31612879,0.21352349,0.04424229,-0.10372865,-0.15855416,-0.66485796,-0.82138149,-1.07960427,-1.49691523,-1.90788624,-2.28965898,-2.68210645,-3.10874677,-3.24625421,-3.30094255,-3.51901702,-3.73644951,-4.06194661,-4.14825824,-4.35742074,-4.58555853,-4.75833476,-5.17074685,-5.23746939,-6.38854099
31,20.36620900,5.44413925,5.22298480,4.78939297,4.37738254,3.58241269,3.56296270,3.32483308,3.13652219,2.82806135,2.32749344,2.16176568,2.02608117,1.16876858,0.86985923,0.74606827,0.46006203,0.28629050,0.13015912,0.04412155,-0.11107623,-0.19190809,-0.66644638,-0.81924992,-1.15972098,-1.48788370,-1.91207045,-2.31172923,-2.69042509,-3.10211979,-3.11637074,-3.30676232,-3.59420672,-3.74116614,-4.06624110,-4.19394344,-4.28542952,-4.60771940,-4.76864077,-5.17167256,-5.25975194,-6.29103564
32,20.42401284,5.52762482,5.16091158,4.54599136,4.36126215,3.66513997,3.48746974,3.30414054,3.17653760,2.84137110,2.35142119,2.10112603,1.98152207,1.16145866,0.97065283,0.68900307,0.47064394,0.44047665,0.16653706,0.03654998,-0.10115113,-0.15479506,-0.64108791,-0.85124777,-1.03829258,-1.50737686,-1.87652894,-2.24730774,-2.73363252,-3.14968740,-3.23671205,-3.32627487,-3.60621727,-3.72421623,-3.90822975,-4.05428765,-4.50682439,-4.67121916,-4.76111820,-5.13470407,-5.18943973,-6.44350193
33,20.32016926,5.50528693,5.18057250,4.88584968,4.44422490,3.56633282,3.39374227,3.21787528,3.06215619,2.87260521,2.52380062,2.22450397,2.10446807,0.97163648,0.86683610,0.70965192,0.39570279,0.34811904,0.14983368,-0.01175169,-0.10208854,-0.19407255,-0.67019181,-0.86955053,-1.23198549,-1.43145367,-1.80707428,-2.32562074,-2.65286235,-3.05784129,-3.12621748,-3.27384757,-3.52857202,-3.74267499,-4.07009594,-4.11708509,-4.39908532,-4.66797280,-4.77541799,-5.16455483,-5.26437053,-6.25898023
34,20.32032014,5.52770538,5.17510147,4.80451690,4.35215739,3.56679882,3.48449833,3.29118001,3.14202266,2.86837761,2.24207595,2.21682792,2.10337678,1.17550696,0.87610229,0.72781181,0.44599198,0.39353710,0.18165189,0.05807113,-0.09320638,-0.19186519,-0.64242413,-1.02059342,-1.17764194,-1.42814293,-1.92454137,-2.27050496,-2.77779502,-3.05230777,-3.13889843,-3.28352268,-3.66865919,-3.72784425,-4.02643617,-4.11473832,-4.25257740,-4.67573405,-4.81648910,-5.13594935,-5.26493985,-6.26882062
35,20.42136157,5.50405495,5.16622048,4.65514047,4.41255614,3.65782524,3.44577341,3.24934347,3.06032302,2.86190018,2.63935609,2.10681440,1.98966810,1.03578245,0.85500415,0.71752732,0.47169003,0.37211198,0.12688353,-0.04222177,-0.12499348,-0.19394323,-0.66481345,-0.87469370,-0.95156325,-1.49524299,-1.75560188,-2.30634765,-2.61845025,-3.14292886,-3.21057356,-3.35570947,-3.51682203,-3.69112958,-3.94198735,-4.19064808,-4.51675799,-4.67634528,-4.71200405,-5.15553914,-5.19100772,-6.42001221
36,20.37353026,5.52968065,5.15437959,4.68723218,4.37445238,3.66080427,3.38249505,3.27994654,3.16119397,2.84692073,2.50830881,2.10882128,1.97766571,1.16708777,0.90209030,0.70005798,0.47441112,0.39095365,0.14403593,-0.03342085,-0.11552423,-0.16162559,-0.63565215,-0.92756909,-1.04148708,-1.45945968,-1.83500827,-2.25238229,-2.68226976,-3.14225490,-3.22147133,-3.35811562,-3.56441886,-3.72362277,-3.96733801,-4.13439994,-4.37271145,-4.67149314,-4.81692369,-5.14296726,-5.18649419,-6.37745803
37,20.37103133,5.50433525,5.18196831,4.71803078,4.45929181,3.56468777,3.44320641,3.21372867,3.02173522,2.88237921,2.65614851,2.16970430,2.08178856,1.06709587,0.85615378,0.74628607,0.38786148,0.36154589,0.12912894,-0.04907744,-0.16430556,-0.20826156,-0.66561259,-0.84100592,-1.07168185,-1.49492543,-1.75525088,-2.33297985,-2.64387037,-3.10938782,-3.17306413,-3.31474550,-3.52765099,-3.73395159,-3.98175396,-4.19765752,-4.40991974,-4.66569955,-4.77104835,-5.16915129,-5.20254409,-6.33256219
38,20.37075486,5.50514313,5.16885157,4.80453642,4.41426708,3.65801387,3.39818132,3.25118698,3.09940130,2.84726702,2.51059269,2.19323968,1.98786817,0.95846593,0.80208958,0.72995452,0.47935987,0.35743875,0.15171597,-0.00752007,-0.10319844,-0.13574900,-0.66812079,-0.87502932,-1.14705469,-1.43241828,-1.80586010,-2.29873675,-2.63024355,-3.11624249,-3.18905768,-3.28714901,-3.51807710,-3.69151949,-4.06457801,-4.08489936,-4.48326807,-4.67615313,-4.71278087,-5.15110357,-5.25003160,-6.35953733
